regime,optimizer,step,eta,loss,delta,correct_min,correct_max
decoupled,signgd,28,0.13,0.523430167236032,0.0,0.5924847366481676,0.5924847366481676
decoupled,signgd,29,0.13,0.42548655234754684,2.0872192862952943e-14,0.6534517692780736,0.6534517692780945
decoupled,signgd,30,0.13,0.3428202659104834,1.6653345369377348e-15,0.7097657692009334,0.709765769200935
decoupled,signgd,31,0.13,0.27406093834250667,6.072919944699606e-14,0.7602857432961228,0.7602857432961835
decoupled,signgd,32,0.13,0.21761523629918578,7.172040739078511e-14,0.8044348994776053,0.804434899477677
decoupled,signgd,33,0.13,0.17180758439642596,1.965094753586527e-14,0.8421411986869053,0.8421411986869249
decoupled,signgd,34,0.13,0.13499678195759623,1.2323475573339238e-14,0.8737187233474087,0.8737187233474211
decoupled,signgd,35,0.13,0.10565870038214649,2.0095036745715333e-14,0.8997316737554774,0.8997316737554975
decoupled,signgd,36,0.13,0.08243482752025634,8.992806499463768e-14,0.9208714513771076,0.9208714513771975
decoupled,signgd,37,0.13,0.0641523613540701,8.071321389024888e-14,0.9378620947056747,0.9378620947057554
decoupled,signgd,38,0.13,0.049823821488603204,2.6978419498391304e-14,0.9513970254481071,0.9513970254481341
decoupled,signgd,39,0.13,0.03863387293846548,2.5424107263916085e-14,0.9621028965761704,0.9621028965761959
decoupled,signgd,40,0.13,0.029919531386939712,8.171241461241152e-14,0.9705236270966247,0.9705236270967064
decoupled,signgd,41,0.13,0.023148087992011977,5.695444116327053e-14,0.9771177736495553,0.9771177736496123
decoupled,signgd,42,0.13,0.01789546766733464,9.725553695716371e-14,0.9822637053082747,0.9822637053083719
decoupled,signgd,43,0.13,0.013826504108196833,3.885780586188048e-15,0.9862686429777408,0.9862686429777446
decoupled,signgd,44,0.13,0.010677779659238308,1.3433698597964394e-14,0.9893790254659945,0.989379025466008
decoupled,signgd,45,0.13,0.008243163107291267,2.90878432451791e-14,0.9917907186003125,0.9917907186003416
decoupled,signgd,46,0.13,0.0063618926690697155,8.326672684688674e-15,0.9936583013233969,0.9936583013234053
decoupled,signgd,47,0.13,0.004908915753860479,2.375877272697835e-14,0.9951031132818504,0.9951031132818742
decoupled,signgd,48,0.13,0.003787152363913207,5.1514348342607263e-14,0.9962200098532683,0.9962200098533198
decoupled,signgd,49,0.13,0.002921354919575625,9.048317650695026e-14,0.9970829080853744,0.9970829080854648
decoupled,signgd,50,0.13,0.0022532682315061702,3.1086244689504383e-15,0.9977492684717043,0.9977492684717074
decoupled,signgd,51,0.13,0.0017378340038783852,5.417888360170764e-14,0.9982636751552415,0.9982636751552957
decoupled,signgd,52,0.13,0.0013402261486925287,4.474198789239381e-14,0.9986606715532773,0.998660671553322
decoupled,signgd,53,0.13,0.0010335420018511188,9.336975637097567e-14,0.99896699191865,0.9989669919187434
decoupled,signgd,54,0.13,0.0007970084679554429,5.2735593669694936e-14,0.9992033090588885,0.9992033090589413
decoupled,signgd,55,0.13,0.000614590703333808,2.120525977034049e-14,0.9993855981188435,0.9993855981188647
decoupled,signgd,56,0.13,0.0004739144725696579,6.872280522429719e-14,0.9995261978071426,0.9995261978072113
decoupled,signgd,57,0.13,0.0003654323278507233,8.881784197001252e-15,0.9996346344344027,0.9996346344344116
decoupled,signgd,58,0.13,0.0002817789621368918,3.774758283725532e-14,0.9997182607337961,0.9997182607338339
