regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,0.6272508721271399,6.904718217229741,2.355123713601321e-06,0.0010011580221248088,0.00100351314583841,999,999,0.8,0.2,200
decoupled,gd,0.6386447193220294,6.9046812236736494,2.397961883314004e-06,0.0010011608745997729,0.0010035588364830869,999,999,0.8,0.2,200
decoupled,gd,0.6502455327558979,6.904643558141042,2.441580324034215e-06,0.0010011637788975077,0.001003605359221542,999,999,0.8,0.2,200
decoupled,gd,0.6620570719160674,6.9046052084257425,2.485993287120727e-06,0.001001166735959722,0.0010036527292468427,999,999,0.8,0.2,200
decoupled,gd,0.6740831645799588,6.90456616209976,2.531215285864717e-06,0.001001169746745205,0.0010037009620310698,999,999,0.8,0.2,200
decoupled,gd,0.6863277080555632,6.904526406509456,2.577261100197587e-06,0.001001172812230027,0.0010037500733302246,999,999,0.8,0.2,200
decoupled,gd,0.6987946704444473,6.9044859287712566,2.6241457814013894e-06,0.001001175933408254,0.0010038000791896555,999,999,0.8,0.2,200
decoupled,gd,0.7114880919276994,6.904444715767676,2.6718846574248865e-06,0.0010011791112918662,0.001003850995949291,999,999,0.8,0.2,200
decoupled,gd,0.7244120860752348,6.90440275414282,2.720493338117429e-06,0.0010011823469112313,0.0010039028402493487,999,999,0.8,0.2,200
decoupled,gd,0.7375708411788855,6.904360030298292,2.7699877201555704e-06,0.0010011856413154796,0.0010039556290356352,999,999,0.8,0.2,200
decoupled,gd,0.7509686216097031,6.904316530388647,2.8203839925508133e-06,0.0010011889955728452,0.001004009379565396,999,999,0.8,0.2,200
decoupled,gd,0.7646097691999186,6.904272240316942,2.8716986420706213e-06,0.0010011924107709816,0.0010040641094130522,999,999,0.8,0.2,200
decoupled,gd,0.778498704650004,6.904227145730204,2.9239484588411413e-06,0.0010011958880172351,0.0010041198364760763,999,999,0.8,0.2,200
decoupled,gd,0.792639928961293,6.904181232014659,2.9771505419739965e-06,0.0010011994284391502,0.0010041765789811242,999,999,0.8,0.2,200
decoupled,gd,0.8070380248946255,6.904134484291231,3.0313223051486263e-06,0.0010012030331847414,0.00100423435548989,999,999,0.8,0.2,200
decoupled,gd,0.8216976584554871,6.904086887410392,3.0864814828063334e-06,0.0010012067034229273,0.0010042931849057336,999,999,0.8,0.2,200
decoupled,gd,0.8366235804061267,6.904038425947606,3.1426461357746908e-06,0.0010012104403438404,0.001004353086479615,999,999,0.8,0.2,200
decoupled,gd,0.8518206278051402,6.903989084197979,3.19983465778338e-06,0.001001214245159227,0.0010044140798170103,999,999,0.8,0.2,200
decoupled,gd,0.8672937255750216,6.903938846171526,3.25806578113522e-06,0.0010012181191029449,0.00100447618488408,999,999,0.8,0.2,200
decoupled,gd,0.883047888098187,6.903887695587681,3.3173585835533353e-06,0.0010012220634312147,0.001004539422014768,999,999,0.8,0.2,200
decoupled,gd,0.8990882208419911,6.9038356158702445,3.3777324943261994e-06,0.0010012260794230797,0.0010046038119174059,999,999,0.8,0.2,200
decoupled,gd,0.9154199220132607,6.903782590141776,3.4392073010021482e-06,0.001001230168380955,0.0010046693756819572,999,999,0.8,0.2,200
decoupled,gd,0.9320482842428832,6.9037286012184325,3.5018031559841487e-06,0.0010012343316308263,0.0010047361347868104,999,999,0.8,0.2,200
decoupled,gd,0.9489786963009947,6.903673631604153,3.565540583559115e-06,0.0010012385705227664,0.0010048041111063255,999,999,0.8,0.2,200
decoupled,gd,0.9662166448433244,6.903617663485058,3.6304404866366585e-06,0.0010012428864315129,0.0010048733269181495,999,999,0.8,0.2,200
decoupled,gd,0.9837677161892597,6.903560678723721,3.6965241539703084e-06,0.001001247280756718,0.0010049438049106883,999,999,0.8,0.2,200
decoupled,gd,1.0016375981322119,6.903502658853256,3.7638132674374953e-06,0.0010012517549234379,0.0010050155681908754,999,999,0.8,0.2,200
decoupled,gd,1.019832081782864,6.9034435850713365,3.832329909205694e-06,0.0010012563103827619,0.0010050886402919676,999,999,0.8,0.2,200
decoupled,gd,1.0383570634459023,6.903383438234041,3.902096569553424e-06,0.0010012609486120844,0.0010051630451816378,999,999,0.8,0.2,200
decoupled,gd,1.0572185465308372,6.903322198849777,3.97313615430224e-06,0.0010012656711156532,0.0010052388072699554,999,999,0.8,0.2,200
decoupled,gd,1.0764226434975352,6.9032598470729205,4.045471992567256e-06,0.0010012704794251357,0.001005315951417703,999,999,0.8,0.2,200
decoupled,gd,1.0959755778370892,6.9031963626973125,4.119127844967596e-06,0.0010012753751000001,0.0010053945029449677,999,999,0.8,0.2,200
decoupled,gd,1.1158836860886714,6.903131725149784,4.1941279115976626e-06,0.0010012803597280828,0.0010054744876396805,999,999,0.8,0.2,200
decoupled,gd,1.1361534198930228,6.903065913483397,4.270496840409321e-06,0.0010012854349260632,0.0010055559317664726,999,999,0.8,0.2,200
decoupled,gd,1.156791348083242,6.902998906370838,4.348259735337994e-06,0.0010012906023401102,0.0010056388620754482,999,999,0.8,0.2,200
decoupled,gd,1.1778041588135537,6.902930682097338,4.427442165275087e-06,0.0010012958636462417,0.0010057233058115168,999,999,0.8,0.2,200
decoupled,gd,1.1991986617267467,6.902861218553685,4.508070172652701e-06,0.0010013012205510035,0.0010058092907236562,999,999,0.8,0.2,200
decoupled,gd,1.2209817901609803,6.90279049322909,4.590170282452698e-06,0.001001306674791903,0.0010058968450743556,999,999,0.8,0.2,200
decoupled,gd,1.2431606033966789,6.902718483203792,4.6737695112391946e-06,0.0010013122281381669,0.001005985997649406,999,999,0.8,0.2,200
decoupled,gd,1.2657422889442396,6.902645165141864,4.758895376347607e-06,0.0010013178823911513,0.001006076777767499,999,999,0.8,0.2,200
decoupled,gd,1.288734164873297,6.902570515283347,4.84557590574395e-06,0.0010013236393849327,0.0010061692152906767,999,999,0.8,0.2,200
decoupled,gd,1.3121436821842967,6.902494509436784,4.933839647376301e-06,0.0010013295009868937,0.00100626334063427,999,999,0.8,0.2,200
decoupled,gd,1.335978427223148,6.9024171229712445,5.023715678922642e-06,0.001001335469098582,0.0010063591847775046,999,999,0.8,0.2,200
decoupled,gd,1.3602461241397397,6.902338330808407,5.115233618149329e-06,0.0010013415456559822,0.0010064567792741315,999,999,0.8,0.2,200
decoupled,gd,1.384954637391113,6.902258107414471,5.208423632978992e-06,0.0010013477326302753,0.0010065561562632543,999,999,0.8,0.2,200
decoupled,gd,1.4101119742901032,6.902176426791739,5.303316451985831e-06,0.0010013540320285518,0.0010066573484805376,999,999,0.8,0.2,200
decoupled,gd,1.4357262876002788,6.902093262470345,5.399943374933842e-06,0.00100136044589442,0.001006760389269354,999,999,0.8,0.2,200
decoupled,gd,1.4618058781780146,6.902008587499589,5.4983362837892746e-06,0.0010013669763086332,0.0010068653125924224,999,999,0.8,0.2,200
decoupled,gd,1.4883591976625596,6.901922374439244,5.598527653626409e-06,0.0010013736253898604,0.0010069721530434868,999,999,0.8,0.2,200
decoupled,gd,1.5153948512149682,6.901834595350702,5.700550564108385e-06,0.0010013803952951834,0.0010070809458592918,999,999,0.8,0.2,200
decoupled,gd,1.5429216003067827,6.901745221787757,5.8044387109931934e-06,0.0010013872882209975,0.0010071917269319907,999,999,0.8,0.2,200
decoupled,gd,1.570948365559373,6.901654224787551,5.910226417621444e-06,0.001001394306403737,0.0010073045328213585,999,999,0.8,0.2,200
decoupled,gd,1.5994842296348506,6.9015615748612,6.017948647159396e-06,0.0010014014521204009,0.0010074194007675603,999,999,0.8,0.2,200
decoupled,gd,1.628538440179497,6.901467241984031,6.127641014856515e-06,0.0010014087276894851,0.0010075363687043416,999,999,0.8,0.2,200
decoupled,gd,1.658120412820657,6.901371195586162,6.2393398002692e-06,0.0010014161354715855,0.0010076554752718547,999,999,0.8,0.2,200
decoupled,gd,1.688239734218071,6.9012734045423265,6.353081960112699e-06,0.00100142367787038,0.0010077767598304927,999,999,0.8,0.2,200
decoupled,gd,1.7189061651706334,6.901173837161932,6.468905141314473e-06,0.0010014313573331517,0.0010079002624744661,999,999,0.8,0.2,200
decoupled,gd,1.7501296437795846,6.9010724611786785,6.586847694155804e-06,0.0010014391763517908,0.0010080260240459466,999,999,0.8,0.2,200
decoupled,gd,1.781920288669161,6.900969243740272,6.70694868573434e-06,0.0010014471374634691,0.0010081540861492035,999,999,0.8,0.2,200
decoupled,gd,1.8142884022657482,6.900864151397611,6.829247913666672e-06,0.00100145524325169,0.0010082844911653566,999,999,0.8,0.2,200
decoupled,gd,1.8472444741365994,6.900757150094072,6.953785920455315e-06,0.0010014634963467141,0.0010084172822671694,999,999,0.8,0.2,200
decoupled,gd,1.880799184389199,6.900648205154391,7.080604007475132e-06,0.0010014718994268293,0.0010085525034343045,999,999,0.8,0.2,200
decoupled,gd,1.9149634071323751,6.900537281273467,7.209744249692465e-06,0.0010014804552190642,0.0010086901994687566,999,999,0.8,0.2,200
decoupled,gd,1.949748214000286,6.900424342504876,7.34124951065054e-06,0.001001489166500092,0.0010088304160107426,999,999,0.8,0.2,200
decoupled,gd,1.9851648777404123,6.900309352249325,7.475163457769515e-06,0.0010014980360969496,0.0010089731995547191,999,999,0.8,0.2,200
decoupled,gd,2.02122487586673,6.9001922732426095,7.6115305775790836e-06,0.0010015070668883902,0.0010091185974659693,999,999,0.8,0.2,200
decoupled,gd,2.0579398943792384,6.900073067543782,7.75039619188133e-06,0.0010015162618053324,0.0010092666579972138,999,999,0.8,0.2,200
decoupled,gd,2.0953218315510553,6.899951696522686,7.891806473679609e-06,0.0010015256238321728,0.0010094174303058524,999,999,0.8,0.2,200
decoupled,gd,2.1333828017843013,6.899828120847461,8.035808463887403e-06,0.0010015351560075634,0.0010095709644714508,999,999,0.8,0.2,200
decoupled,gd,2.1721351395360267,6.8997023004717715,8.182450087992075e-06,0.0010015448614255913,0.0010097273115135834,999,999,0.8,0.2,200
decoupled,gd,2.211591403315453,6.899574194621992,8.331780173423137e-06,0.0010015547432364606,0.0010098865234098838,999,999,0.8,0.2,200
decoupled,gd,2.251764379753818,6.899443761783836,8.483848466795839e-06,0.0010015648046479155,0.0010100486531147113,999,999,0.8,0.2,200
decoupled,gd,2.2926670877481556,6.8993109596888385,8.638705652248271e-06,0.001001575048926026,0.0010102137545782743,999,999,0.8,0.2,200
decoupled,gd,2.334312782680342,6.899175745300962,8.796403369256767e-06,0.0010015854793962889,0.0010103818827655456,999,999,0.8,0.2,200
