optimizer,regime,protocol,eta,step,loss,delta,cosine_to_initial
gd,decoupled,iterative,194149.19457438815,25,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,26,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,27,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,28,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,29,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,30,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,31,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,32,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,33,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,34,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,35,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,36,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,37,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,38,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,39,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,40,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,41,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,42,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,43,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,44,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,45,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,46,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,47,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,48,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,49,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,50,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,51,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,52,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,53,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,54,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,55,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,56,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,57,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,58,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,59,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,60,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,61,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,62,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,63,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,64,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,65,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,66,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,67,-0.0,0.0,0.003926702512449706
gd,decoupled,iterative,194149.19457438815,68,-0.0,0.0,0.003926702512449706
