optimizer,regime,eta,steps,loss,delta
gd,decoupled,1.5040335536380252e-07,200,5.703782149868511,1.249183680107624e-09
gd,decoupled,1.7012542798525891e-07,10,5.703782456287381,7.064930628367105e-11
gd,decoupled,1.7012542798525891e-07,50,5.703782382812097,3.5324655527080306e-10
gd,decoupled,1.7012542798525891e-07,100,5.70378229096799,7.064931886041625e-10
gd,decoupled,1.7012542798525891e-07,200,5.703782107279792,1.4129865324660762e-09
gd,decoupled,1.92433614111598e-07,10,5.70378245387872,7.991340401913849e-11
gd,decoupled,1.92433614111598e-07,50,5.703782370768779,3.995670318050759e-10
gd,decoupled,1.92433614111598e-07,100,5.703782266881352,7.991341447084743e-10
gd,decoupled,1.92433614111598e-07,200,5.703782059106499,1.5982685118952344e-09
gd,decoupled,2.1766702531534592e-07,10,5.703782451154213,9.039226095061692e-11
gd,decoupled,2.1766702531534592e-07,50,5.70378235714624,4.5196142444900445e-10
gd,decoupled,2.1766702531534592e-07,100,5.703782239636279,9.039229451751618e-10
gd,decoupled,2.1766702531534592e-07,200,5.703782004616349,1.8078461414515468e-09
gd,decoupled,2.4620924014946254e-07,10,5.703782448072445,1.0224521880194959e-10
gd,decoupled,2.4620924014946254e-07,50,5.703782341737403,5.112261785775174e-10
gd,decoupled,2.4620924014946254e-07,100,5.703782208818615,1.0224524248092504e-09
gd,decoupled,2.4620924014946254e-07,200,5.703781942981032,2.0449052234514098e-09
gd,decoupled,2.784941350080644e-07,10,5.703782444586573,1.156524199324993e-10
gd,decoupled,2.784941350080644e-07,50,5.703782324308049,5.782621794597764e-10
gd,decoupled,2.784941350080644e-07,100,5.703782173959894,1.1565244959627075e-09
gd,decoupled,2.784941350080644e-07,200,5.703781873263594,2.3130494030548787e-09
gd,decoupled,3.150124795755328e-07,10,5.703782440643605,1.3081767093192642e-10
gd,decoupled,3.150124795755328e-07,50,5.703782304593215,6.540884769576372e-10
gd,decoupled,3.150124795755328e-07,100,5.703782134530227,1.3081771321581115e-09
gd,decoupled,3.150124795755328e-07,200,5.703781794404256,2.6163547921058405e-09
gd,decoupled,3.563193971228584e-07,10,5.7037824361836025,1.4797152609116737e-10
gd,decoupled,3.563193971228584e-07,50,5.703782282293214,7.398577145899254e-10
gd,decoupled,3.563193971228584e-07,100,5.703782089930232,1.4797155996164324e-09
gd,decoupled,3.563193971228584e-07,200,5.703781705204262,2.9594320353695802e-09
gd,decoupled,4.0304280305680504e-07,10,5.703782431138778,1.6737471174657625e-10
gd,decoupled,4.0304280305680504e-07,50,5.703782257069067,8.368737296031437e-10
gd,decoupled,4.0304280305680504e-07,100,5.703782039481931,1.6737476647710192e-09
gd,decoupled,4.0304280305680504e-07,200,5.703781604307665,3.3474962636906302e-09
gd,decoupled,4.558929499981059e-07,10,5.703782425432421,1.8932224104400985e-10
gd,decoupled,4.558929499981059e-07,50,5.703782228537334,9.466111909085806e-10
gd,decoupled,4.558929499981059e-07,100,5.703781982418452,1.8932227452417294e-09
gd,decoupled,4.558929499981059e-07,200,5.703781490180713,3.786446644508251e-09
gd,decoupled,5.156732244854964e-07,10,5.703782418977816,2.1414766140925856e-10
gd,decoupled,5.156732244854964e-07,50,5.703782196264285,1.0707383417407623e-09
gd,decoupled,5.156732244854964e-07,100,5.703781917872358,2.14147708550369e-09
gd,decoupled,5.156732244854964e-07,200,5.703781361088526,4.282955688890422e-09
gd,decoupled,5.8329235942862e-07,10,5.703782411676828,2.4222836583764895e-10
gd,decoupled,5.8329235942862e-07,50,5.703782159759334,1.2111420226099123e-09
gd,decoupled,5.8329235942862e-07,100,5.703781844862478,2.422284550458037e-09
gd,decoupled,5.8329235942862e-07,200,5.703781215068769,4.84457106028624e-09
gd,decoupled,6.597782479539533e-07,10,5.70378240341848,2.739912337811068e-10
gd,decoupled,6.597782479539533e-07,50,5.7037821184675845,1.369956532763783e-09
gd,decoupled,6.597782479539533e-07,100,5.703781762278969,2.739913727324572e-09
gd,decoupled,6.597782479539533e-07,200,5.703781049901743,5.47982996262561e-09
gd,decoupled,7.46293568631013e-07,10,5.703782394077227,3.099191259528511e-10
gd,decoupled,7.46293568631013e-07,50,5.703782071761328,1.549596071685061e-09
gd,decoupled,7.46293568631013e-07,100,5.703781668866452,3.0991929599911983e-09
gd,decoupled,7.46293568631013e-07,200,5.703780863076717,6.198389179961489e-09
gd,decoupled,8.441534596012993e-07,10,5.703782383511082,3.505581957531645e-10
gd,decoupled,8.441534596012993e-07,50,5.703782018930578,1.7527913829563924e-09
gd,decoupled,8.441534596012993e-07,100,5.70378156320495,3.505583827997233e-09
gd,decoupled,8.441534596012993e-07,200,5.7037806517537195,7.011171730859911e-09
gd,decoupled,9.548455102782303e-07,10,5.703782371559411,3.965261157617972e-10
gd,decoupled,9.548455102782303e-07,50,5.703781959172245,1.9826312848414407e-09
gd,decoupled,9.548455102782303e-07,100,5.7037814436882845,3.9652638737612544e-09
gd,decoupled,9.548455102782303e-07,200,5.703780412720389,7.930533046235366e-09
gd,decoupled,1.080052374516254e-06,10,5.703782358040549,4.4852177831164464e-10
gd,decoupled,1.080052374516254e-06,50,5.703781891577926,2.242609617539998e-09
gd,decoupled,1.080052374516254e-06,100,5.70378130849966,4.485220888705149e-09
gd,decoupled,1.080052374516254e-06,200,5.703780142343122,8.97044856061277e-09
gd,decoupled,1.2216773489967931e-06,10,5.703782342748982,5.073354709429767e-10
gd,decoupled,1.2216773489967931e-06,50,5.703781815120112,2.5366783474103927e-09
gd,decoupled,1.2216773489967931e-06,100,5.703781155584023,5.0733588857765355e-09
gd,decoupled,1.2216773489967931e-06,200,5.7037798365118695,1.0146726442134685e-08
gd,decoupled,1.3818733056536336e-06,10,5.703782325452269,5.738613074318666e-10
gd,decoupled,1.3818733056536336e-06,50,5.703781728636544,2.869307744960553e-09
gd,decoupled,1.3818733056536336e-06,100,5.7037809826168955,5.738618303208903e-09
gd,decoupled,1.3818733056536336e-06,200,5.7037794905776105,1.1477247717755351e-08
gd,decoupled,1.5630754179458173e-06,10,5.703782305887478,6.49110537889741e-10
gd,decoupled,1.5630754179458173e-06,50,5.703781630812567,3.2455542311841945e-09
gd,decoupled,1.5630754179458173e-06,100,5.703780786968949,6.491111975183428e-09
gd,decoupled,1.5630754179458173e-06,200,5.703779099281722,1.2982238169027827e-08
gd,decoupled,1.7680381784572085e-06,10,5.703782283757193,7.342270584922983e-10
gd,decoupled,1.7680381784572085e-06,50,5.703781520161145,3.671137124329482e-09
gd,decoupled,1.7680381784572085e-06,100,5.703780565666107,7.342278768914662e-09
gd,decoupled,1.7680381784572085e-06,200,5.70377865667604,1.4684575727272331e-08
