optimizer,regime,eta,steps,loss,delta
gd,decoupled,3.007882518043096e-05,10,5.703779226978645,1.2491094023275168e-08
gd,decoupled,3.007882518043096e-05,50,5.703766236269275,6.245599714878661e-08
gd,decoupled,3.007882518043096e-05,100,5.703749997884494,1.2491331162186106e-07
gd,decoupled,3.007882518043096e-05,200,5.703717521121345,2.4983189287350674e-07
gd,decoupled,3.402299765678064e-05,10,5.7037788011175925,1.4129028586429976e-08
gd,decoupled,3.402299765678064e-05,50,5.703764106964235,7.064581711421422e-08
gd,decoupled,3.402299765678064e-05,100,5.70374573927501,1.412933197807338e-07
gd,decoupled,3.402299765678064e-05,200,5.703709003904769,2.8259338177589327e-07
gd,decoupled,3.848436109487425e-05,10,5.703778319414283,1.5981743102522206e-08
gd,decoupled,3.848436109487425e-05,50,5.703761698447993,7.990957810906363e-08
gd,decoupled,3.848436109487425e-05,100,5.703740922243291,1.598213127942602e-07
gd,decoupled,3.848436109487425e-05,200,5.703699369844386,3.1965125198282415e-07
gd,decoupled,4.353073364731883e-05,10,5.70377777454624,1.8077401512349434e-08
gd,decoupled,4.353073364731883e-05,50,5.703758974108191,9.038811134070776e-08
gd,decoupled,4.353073364731883e-05,100,5.703735473564647,1.8077898191045869e-07
gd,decoupled,4.353073364731883e-05,200,5.70368847249103,3.615690009730124e-07
gd,decoupled,4.9238826317067314e-05,10,5.703777158230816,2.04478609669434e-08
gd,decoupled,4.9238826317067314e-05,50,5.703755892531557,1.0224071710952798e-07
gd,decoupled,4.9238826317067314e-05,100,5.703729310412641,2.044849644984234e-07
gd,decoupled,4.9238826317067314e-05,200,5.703676146192017,4.089840506061107e-07
gd,decoupled,5.5695409058001245e-05,10,5.703776461099256,2.312915607953145e-08
gd,decoupled,5.5695409058001245e-05,50,5.703752406874416,1.1564758705708e-07
gd,decoupled,5.5695409058001245e-05,100,5.703722339099963,2.3129969097803946e-07
gd,decoupled,5.5695409058001245e-05,200,5.703662203573067,4.626174499948975e-07
gd,decoupled,6.299862978380693e-05,10,5.703775672554323,2.6162046607661887e-08
gd,decoupled,6.299862978380693e-05,50,5.703748464150577,1.3081254458292835e-07
