kind,optimizer,eta,step,loss,delta,correct_min,correct_max
identity_decoupled,gd,250.0,20,0.38331127370384177,0.8283059659768208,0.1564412105335296,0.9847471765103504
identity_decoupled,gd,250.0,21,0.3533824659237791,0.804351369385231,0.18114337979955966,0.9854947491847906
identity_decoupled,gd,250.0,22,0.32525121813621166,0.778243156277058,0.2079289851964716,0.9861721414735296
identity_decoupled,gd,250.0,23,0.29898901202424183,0.7502748891329184,0.23651393136551987,0.9867888204984383
identity_decoupled,gd,250.0,24,0.2746355831745167,0.7208218983936929,0.26653072208483913,0.987352620478532
identity_decoupled,gd,250.0,25,0.2521960564963643,0.690317382950157,0.2975526978172719,0.9878700807674289
identity_decoupled,gd,250.0,26,0.23164107566095876,0.6592219672658747,0.329124735887414,0.9883467031532887
identity_decoupled,gd,250.0,27,0.21290976417214463,0.6279916884578,0.3607954616213389,0.9887871500791389
identity_decoupled,gd,250.0,28,0.19591490251424798,0.5970493499745075,0.3921460490680212,0.9891953990425287
identity_decoupled,gd,250.0,29,0.18054942948361724,0.5667628941173755,0.4228119699669942,0.9895748640843697
identity_decoupled,gd,250.0,30,0.16669332677458845,0.5374324942142091,0.45249599806443086,0.98992849227864
identity_decoupled,gd,250.0,31,0.15422009169007528,0.5092861571149391,0.48097268391519277,0.9902588410301318
identity_decoupled,gd,250.0,32,0.14300225934886254,0.48248227140998523,0.5080858690845937,0.990568140494579
identity_decoupled,gd,250.0,33,0.13291571176846734,0.45711691442487823,0.5337414299363382,0.9908583443612164
identity_decoupled,gd,250.0,34,0.12384274111618337,0.43323373705244617,0.5578974344019909,0.9911311714544371
identity_decoupled,gd,250.0,35,0.1156739889162595,0.4108346395565594,0.5805535004796253,0.9913881400361847
identity_decoupled,gd,250.0,36,0.1083094625135006,0.3898899924242927,0.6017406038374143,0.991630596261707
identity_decoupled,gd,250.0,37,0.10165885147077443,0.37034767426479787,0.6215120636549605,0.9918597379197583
identity_decoupled,gd,250.0,38,0.09564135112654207,0.35214060794094226,0.6399360264048144,0.9920766343457567
identity_decoupled,gd,250.0,39,0.09018516679516236,0.3351927552076519,0.6570894880011173,0.9922822432087692
identity_decoupled,gd,250.0,40,0.08522683308225665,0.31942369423840655,0.6730537304922469,0.9924774247306535
identity_decoupled,gd,250.0,41,0.08071044613555572,0.3047519826098567,0.6879109711754223,0.992662953785279
identity_decoupled,gd,250.0,42,0.07658687589118758,0.29109753003723204,0.7017420001994298,0.9928395302366618
identity_decoupled,gd,250.0,43,0.07281300142654332,0.27838319421442326,0.7146245935949361,0.9930077878093594
identity_decoupled,gd,250.0,44,0.06935099492899242,0.2665357862580098,0.7266325154699824,0.9931683017279922
identity_decoupled,gd,250.0,45,0.06616766746275388,0.2554866400728718,0.7378349552481211,0.993321595320993
identity_decoupled,gd,250.0,46,0.06323388147919823,0.24517186842051342,0.7482962773286312,0.9934681457491447
identity_decoupled,gd,250.0,47,0.060524029787634326,0.2355324004947288,0.7580759884961069,0.9936083889908357
identity_decoupled,gd,250.0,48,0.05801557759608032,0.2265138724417205,0.7672288517532317,0.9937427241949522
identity_decoupled,gd,250.0,49,0.05568866256996216,0.2180664235181563,0.7758050939742605,0.9938715174924168
identity_decoupled,gd,250.0,50,0.053525747137742594,0.21014443598630728,0.7838506693574824,0.9939951053437897
identity_decoupled,gd,250.0,51,0.05151131714893411,0.20270624573465912,0.7914075517527216,0.9941137974873807
identity_decoupled,gd,250.0,52,0.049631621217950825,0.19571384231042832,0.7985140372321469,0.9942278795425752
identity_decoupled,gd,250.0,53,0.04787444550760202,0.189132570944183,0.8052050443701438,0.9943376153143269
identity_decoupled,gd,250.0,54,0.046228919214064954,0.18293084472267862,0.8115124041156347,0.9944432488383134
identity_decoupled,gd,250.0,55,0.04468534654770286,0.17707987190624874,0.8174651342937066,0.9945450061999553
identity_decoupled,gd,250.0,56,0.043235061521164186,0.1715534011671359,0.823089695989143,0.994643097156279
identity_decoupled,gd,250.0,57,0.041870302338787455,0.16632748599224134,0.8284102305926131,0.9947377165848544
identity_decoupled,gd,250.0,58,0.04058410261733747,0.16138026846132936,0.8334487773198066,0.994829045781136
identity_decoupled,gd,250.0,59,0.039370197056271684,0.15669178193667288,0.8382254716855012,0.9949172536221741
