regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,7.454803803303049e-08,6.906754778406508,2.795485197493175e-13,0.0010010010010196514,0.0010010010012992,999,999,0.8,0.2,200
decoupled,gd,7.593468926775283e-08,6.906754778402003,2.8475572594333087e-13,0.0010010010010199938,0.0010010010013047496,999,999,0.8,0.2,200
decoupled,gd,7.734713328921379e-08,6.9067547783974375,2.90019961171617e-13,0.0010010010010203503,0.0010010010013103703,999,999,0.8,0.2,200
decoupled,gd,7.878584986321956e-08,6.906754778392759,2.95442489917086e-13,0.001001001001020698,0.0010010010013161404,999,999,0.8,0.2,200
decoupled,gd,8.025132767959182e-08,6.906754778387971,3.009226982181312e-13,0.0010010010010211015,0.0010010010013220241,999,999,0.8,0.2,200
decoupled,gd,8.174406451816187e-08,6.906754778383156,3.0650156891687264e-13,0.0010010010010214642,0.0010010010013279658,999,999,0.8,0.2,200
decoupled,gd,8.326456741785065e-08,6.9067547783782,3.122467562288733e-13,0.0010010010010218287,0.0010010010013340755,999,999,0.8,0.2,200
decoupled,gd,8.481335284889633e-08,6.9067547783731875,3.1800538764781283e-13,0.0010010010010222386,0.001001001001340244,999,999,0.8,0.2,200
decoupled,gd,8.639094688828295e-08,6.90675477836805,3.2397261956473855e-13,0.0010010010010226085,0.0010010010013465811,999,999,0.8,0.2,200
decoupled,gd,8.799788539843383e-08,6.906754778362847,3.2993204522602237e-13,0.0010010010010230487,0.0010010010013529807,999,999,0.8,0.2,200
decoupled,gd,8.963471420922885e-08,6.9067547783575245,3.3612609223743206e-13,0.0010010010010234212,0.0010010010013595473,999,999,0.8,0.2,200
decoupled,gd,9.130198930340576e-08,6.906754778352127,3.42338137004905e-13,0.0010010010010238523,0.0010010010013661904,999,999,0.8,0.2,200
decoupled,gd,9.300027700541178e-08,6.906754778346607,3.486896101717596e-13,0.0010010010010242994,0.001001001001372989,999,999,0.8,0.2,200
decoupled,gd,9.473015417376798e-08,6.9067547783409795,3.5518614958929273e-13,0.0010010010010247333,0.0010010010013799195,999,999,0.8,0.2,200
decoupled,gd,9.649220839700998e-08,6.906754778335264,3.618362120344498e-13,0.0010010010010251316,0.0010010010013869679,999,999,0.8,0.2,200
decoupled,gd,9.828703819327524e-08,6.90675477832945,3.6855045924821805e-13,0.001001001001025585,0.0010010010013941355,999,999,0.8,0.2,200
