kind,protocol,eta,step,loss,delta,correct_min,correct_max
identity_decoupled,one_step,0.004574855261567406,1,5.6946634026539735,4.336808689942018e-19,0.0033638692580482583,0.0033638692580482588
identity_decoupled,one_step,0.004918400606471694,1,5.693978624038957,0.0,0.0033661735526556726,0.0033661735526556726
identity_decoupled,one_step,0.005287744232907843,1,5.693242424251096,0.0,0.0033686526413513464,0.0033686526413513464
identity_decoupled,one_step,0.005684823443592555,1,5.692450942132577,4.336808689942018e-19,0.003371319925094929,0.0033713199250949293
identity_decoupled,one_step,0.006111721021545632,1,5.691600026618285,0.0,0.003374189854383342,0.003374189854383342
identity_decoupled,one_step,0.006570676154824825,1,5.690685214972345,8.673617379884035e-19,0.003377278014884974,0.003377278014884975
identity_decoupled,one_step,0.007064096181645591,1,5.689701709391391,0.0,0.0033806012205888454,0.0033806012205888454
identity_decoupled,one_step,0.007594569217491763,1,5.68864435185213,8.673617379884035e-19,0.003384177615207381,0.003384177615207382
identity_decoupled,one_step,0.008164877730449795,1,5.687507597071621,8.673617379884035e-19,0.003388026782654832,0.003388026782654833
identity_decoupled,one_step,0.008778013135972481,1,5.686285483438681,4.336808689942018e-19,0.003392169867519256,0.0033921698675192565
identity_decoupled,one_step,0.009437191487625705,1,5.68497160176445,8.673617379884035e-19,0.0033966297065528735,0.0033966297065528743
identity_decoupled,one_step,0.01014587034612,1,5.683559061688549,0.0,0.0034014309723282253,0.0034014309723282253
identity_decoupled,one_step,0.010907766915109553,1,5.682040455565261,0.0,0.0034066003303466503,0.0034066003303466503
identity_decoupled,one_step,0.01172687753888545,1,5.680407819640914,0.0,0.003412166611044374,0.003412166611044374
identity_decoupled,one_step,0.012607498664233685,1,5.678652592319466,8.673617379884035e-19,0.0034181609983225977,0.0034181609983225986
identity_decoupled,one_step,0.013554249376408261,1,5.676765569298365,0.0,0.003424617236435437,0.003424617236435437
identity_decoupled,one_step,0.01457209562742639,1,5.674736855340315,0.0,0.00343157185730695,0.00343157185730695
identity_decoupled,one_step,0.015666376283769455,1,5.672555812429044,0.0,0.0034390644306226408,0.0034390644306226408
identity_decoupled,one_step,0.01684283113011666,1,5.670211004038672,0.0,0.0034471378393538077,0.0034471378393538077
identity_decoupled,one_step,0.018107630975998167,1,5.667690135225825,0.0,0.00345583858373661,0.00345583858373661
identity_decoupled,one_step,0.019467410023284917,1,5.664979988232042,0.0,0.0034652171171470287,0.0034652171171470287
identity_decoupled,one_step,0.020929300664290964,1,5.662066353261139,0.0,0.0034753282177965327,0.0034753282177965327
identity_decoupled,one_step,0.02250097089301335,1,5.658933954070786,8.673617379884035e-19,0.0034862314007377856,0.0034862314007377865
identity_decoupled,one_step,0.02419066452574114,1,5.655566367990967,0.0,0.0034979913753234943,0.0034979913753234943
identity_decoupled,one_step,0.02600724444200114,1,5.651945939953632,0.0,0.003510678554023735,0.003510678554023735
identity_decoupled,one_step,0.02796023907265014,1,5.648053690086348,4.336808689942018e-19,0.0035243696193988723,0.0035243696193988728
identity_decoupled,one_step,0.03005989237895584,1,5.643869214390632,0.0,0.0035391481570656727,0.0035391481570656727
identity_decoupled,one_step,0.03231721758481955,1,5.6393705779892835,0.0,0.0035551053637187025,0.0035551053637187025
identity_decoupled,one_step,0.034744054943980064,1,5.634534200390087,4.336808689942018e-19,0.003572340840704387,0.0035723408407043874
identity_decoupled,one_step,0.037353133845202786,1,5.6293347321718645,0.0,0.003590963485340321,0.003590963485340321
identity_decoupled,one_step,0.040158139581211526,1,5.62374492245577,0.0,0.0036110924941728903,0.0036110924941728903
identity_decoupled,one_step,0.043173785131583584,1,5.617735476478101,8.673617379884035e-19,0.00363285849473553,0.003632858494735531
identity_decoupled,one_step,0.046415888336127795,1,5.611274902531073,0.0,0.003656404825184396,0.003656404825184396
identity_decoupled,one_step,0.04990145486353981,1,5.604329347485069,0.0,0.0036818889845361643,0.0036818889845361643
