optimizer,regime,eta,steps,loss,delta
gd,decoupled,136644.83492953243,200,2.7375687588025164e-13,1.3948842081390467e-12
gd,decoupled,153617.49466718297,200,2.3920790254726983e-15,1.9984014443252818e-14
gd,decoupled,172698.3290659436,200,1.884183255809401e-17,2.220446049250313e-16
gd,decoupled,194149.19457438815,200,-0.0,0.0
gd,decoupled,218264.47283974872,200,-0.0,0.0
gd,decoupled,245375.11066398167,200,-0.0,0.0
gd,decoupled,275853.1617629181,200,-0.0,0.0
gd,decoupled,310116.8926574775,200,-0.0,0.0
gd,decoupled,348636.52276780875,200,-0.0,0.0
gd,decoupled,391940.6774847221,200,-0.0,0.0
gd,decoupled,440623.6427773573,200,-0.0,0.0
gd,decoupled,495353.52089591697,200,-0.0,0.0
gd,decoupled,556881.3990945267,200,-0.0,0.0
gd,decoupled,626051.6572014815,200,-0.0,0.0
gd,decoupled,703813.5554931562,200,-0.0,0.0
gd,decoupled,791234.2618981326,200,-0.0,0.0
gd,decoupled,889513.4973108236,200,-0.0,0.0
gd,decoupled,1000000.0,200,-0.0,0.0
gd,coupled,1000.0,200,0.005937831372686662,0.023151647439472733
gd,coupled,1124.2100350620863,200,0.005172751809306967,0.020104898780310965
gd,coupled,1263.8482029342983,200,0.004514794571510302,0.017508244793030148
gd,coupled,1420.8308325339224,200,0.003946797292961541,0.015284986688942404
gd,coupled,1597.312280060254,200,0.003458541396134376,0.013369008086045908
gd,coupled,1795.714494371641,200,0.003040305815246112,0.011708464510309491
gd,coupled,2018.7602546790388,200,0.002676998197745879,0.010269868335091914
gd,coupled,2269.5105366946686,200,0.002357913045953643,0.009023452875472238
gd,coupled,2551.4065200312875,200,0.0020764627953860234,0.007941641435524338
gd,coupled,2868.3168133420118,200,0.0018237233924814735,0.007005674495269898
gd,coupled,3224.590545296395,200,0.0015821804919261685,0.006212309018193252
gd,coupled,3625.117049988535,200,0.0013233558059698375,0.0055759150289850234
gd,coupled,4075.392965871778,200,0.001076434142609094,0.005042018919547142
gd,coupled,4581.597669054491,200,0.0009135974370453903,0.004505038422148333
gd,coupled,5150.678076168122,200,0.0008014364443496612,0.003993578668816666
gd,coupled,5790.443980602489,200,0.0007084784428744827,0.0035356911706607708
gd,coupled,6509.6752304581705,200,0.0006271976343884863,0.0031310516329294824
gd,coupled,7318.2422190761745,200,0.0005555377234637683,0.0027738334457192426
gd,coupled,8227.241341700474,200,0.0004922569944904431,0.0024582584687131703
gd,coupled,9249.147277217335,200,0.0004363410420261315,0.0021793270211017957
gd,coupled,10397.984184814899,200,0.0003869075854934556,0.0019326679150557524
gd,coupled,11689.518164985777,200,0.0003431095684005654,0.001714077130976821
gd,coupled,13141.47362611758,200,0.0003043286558712979,0.0015204861672406533
gd,coupled,14773.776525985097,200,0.0002701271433791378,0.0013497240190019077
gd,coupled,16608.827826277167,200,0.0002398117337084384,0.0011983400849659986
gd,coupled,18671.810912919205,200,0.0002125676387718311,0.0010622735814216355
gd,coupled,20991.037201085546,200,0.00018784289495542451,0.0009387735509248651
gd,coupled,23598.33466782194,200,0.0001657731626392309,0.0008285223988556689
gd,coupled,26529.484644318945,200,0.0001472281853134856,0.0007358700413231389
gd,coupled,29824.71286216894,200,0.0001317567093263946,0.0006585665964367049
gd,coupled,33529.24149249553,200,0.0001176984372612084,0.0005883190587780973
gd,coupled,37693.909753883636,200,0.00010458515343534467,0.0005227890653438649
gd,coupled,42375.87160604064,200,9.210336984826927e-05,0.0004604108276505814
gd,coupled,47639.380104013406,200,7.87000858408267e-05,0.0003934230180745457
gd,coupled,53556.669177068965,200,5.9782557457924336e-05,0.00029886811731894003
gd,coupled,60208.94493336126,200,3.0658162788041514e-05,0.00015327906552187187
gd,coupled,67687.50009458541,200,7.621905514300461e-06,3.810880143351181e-05
gd,coupled,76094.96685459868,200,1.0452357563643432e-06,5.226165126770432e-06
gd,coupled,85546.72535565685,200,9.98830776664472e-08,4.994152830173348e-07
gd,coupled,96172.48711152964,200,7.0020352304070585e-09,3.501020595653159e-08
gd,coupled,108118.07510766077,200,3.521227659570141e-10,1.7606154312233002e-09
gd,coupled,121547.4250076286,200,1.2220352778279143e-11,6.114175832294677e-11
gd,coupled,136644.83492953243,200,2.7375687588025164e-13,1.3948842081390467e-12
gd,coupled,153617.49466718297,200,2.3920790254726983e-15,1.9984014443252818e-14
gd,coupled,172698.3290659436,200,1.884183255809401e-17,2.220446049250313e-16
gd,coupled,194149.19457438815,200,-0.0,0.0
gd,coupled,218264.47283974872,200,-0.0,0.0
gd,coupled,245375.11066398167,200,-0.0,0.0
gd,coupled,275853.1617629181,200,-0.0,0.0
gd,coupled,310116.8926574775,200,-0.0,0.0
gd,coupled,348636.52276780875,200,-0.0,0.0
gd,coupled,391940.6774847221,200,-0.0,0.0
gd,coupled,440623.6427773573,200,-0.0,0.0
gd,coupled,495353.52089591697,200,-0.0,0.0
gd,coupled,556881.3990945267,200,-0.0,0.0
gd,coupled,626051.6572014815,200,-0.0,0.0
gd,coupled,703813.5554931562,200,-0.0,0.0
gd,coupled,791234.2618981326,200,-0.0,0.0
gd,coupled,889513.4973108236,200,-0.0,0.0
gd,coupled,1000000.0,200,-0.0,0.0
signgd,decoupled,0.01,200,2.9590168153968692,1.3877787807814457e-16
signgd,decoupled,0.010811807510766078,200,2.6539981439960276,6.938893903907228e-17
signgd,decoupled,0.011689518164985783,200,2.3320821453890304,1.249000902703301e-16
signgd,decoupled,0.012638482029342977,200,1.9963469058900578,1.2490009027033011e-15
signgd,decoupled,0.013664483492953258,200,1.652598255507121,3.83026943495679e-15
signgd,decoupled,0.014773776525985112,200,1.3105162448476424,6.661338147750939e-16
signgd,decoupled,0.01597312280060254,200,0.9843821127061256,6.106226635438361e-16
signgd,decoupled,0.01726983290659435,200,0.6920578313847386,5.662137425588298e-15
signgd,decoupled,0.018671810912919196,200,0.45076631650318827,4.04121180963557e-14
signgd,decoupled,0.02018760254679039,200,0.27047595344305103,6.428191312579656e-14
signgd,decoupled,0.021826447283974874,200,0.149493357255717,2.842170943040401e-14
signgd,decoupled,0.02359833466782194,200,0.07638152506385242,5.10702591327572e-14
signgd,decoupled,0.025514065200312887,200,0.03622378366783293,3.652633751016765e-14
